"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Successful Login Flow","0","1","0","0","0"
"SkillBoost Platform","Homepage Functionality","Homepage loads with visible logo and main CTA buttons","0","1","0","0","0"
"UI Tests","Signup Page","User navigates and signs up successfully","0","10","0","0","0"
"","","Navigation to Login Page","0","1","0","0","0"
"SkillBoost Platform","Homepage Functionality","Homepage navigation buttons are interactive","0","1","0","0","0"
"","","Forgot Password Navigation","0","1","0","0","0"
"UI Tests","Forgot Password Page","User accesses Forgot Password page and verifies its elements","0","4","0","0","0"
"SkillBoost Platform","Homepage Functionality","Homepage navigation","0","1","0","0","0"
"SkillBoost Platform","Homepage Functionality","Homepage content visibility","0","1","0","0","0"
"","","Third-Party Authentication","0","1","0","0","0"
"","","Login Validation","0","2","0","0","0"
"","","Google Sign-In","0","1","0","0","0"
"","","User Registration Navigation","0","1","0","0","0"
